Var1,Gene,Gene_Symbol,total_rxns,targeted_rxns,targeted_drugs,targeted_drugs_names,targeted_rxns_names
"Arachidonic acid metabolism",260293,NA,27,4,230,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",260293,NA,27,4,231,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",29785,NA,27,4,232,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",29785,NA,27,4,233,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",29785,NA,27,4,234,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",29785,NA,27,4,235,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",57834,NA,27,4,236,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",57834,NA,27,4,237,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",57834,NA,27,4,238,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",57834,NA,27,4,239,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",57834,NA,27,4,240,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",874,NA,27,0,241,NA,
"Arachidonic acid metabolism",874,NA,27,0,242,NA,
"Arachidonic acid metabolism",874,NA,27,0,243,NA,
"Arachidonic acid metabolism",10901,NA,27,0,244,NA,
"Arachidonic acid metabolism",10901,NA,27,0,245,NA,
"Arachidonic acid metabolism",10901,NA,27,0,246,NA,
"Arachidonic acid metabolism",126410,NA,27,0,247,NA,
"Arachidonic acid metabolism",2053,EPHX2,27,2,1,Emodin,RE3038C; RE3040C
"Arachidonic acid metabolism",2053,EPHX2,27,2,1,Emodin,RE3038C; RE3040C
"Arachidonic acid metabolism",2880,NA,27,0,250,NA,
"Arachidonic acid metabolism",2880,NA,27,0,251,NA,
"Arachidonic acid metabolism",2880,NA,27,0,252,NA,
